NOM	_1891_1900	_1901_1910	_1911_1920	_1921_1930	_1931_1940	_1941_1950	_1951_1960	_1961_1970	_1971_1980	_1981_1990	_1991_2000
FOLLAIN	40	76	66	100	97	106	118	145	109	127	121
FOLLANA	0	0	0	0	4	1	14	15	14	10	6
FOLLE	6	9	6	6	9	7	12	8	8	10	2
FOLLEA	5	9	13	20	15	28	29	11	43	18	11
FOLLEAS	25	24	17	31	36	29	33	38	20	20	22
FOLLEAT	1	1	7	3	2	5	14	10	8	7	12
FOLLEAU	4	9	4	15	6	5	10	7	6	8	1
FOLLEBARBE	1	1	2	2	6	5	4	7	8	5	3
FOLLENFAN	2	2	3	8	5	11	4	4	6	2	0
FOLLENFANT	18	17	18	31	29	39	43	30	39	35	30
FOLLENIUS	9	5	1	15	10	5	13	11	10	6	4
FOLLEREAU	10	10	17	18	17	25	27	14	19	26	14
FOLLEROT	1	4	5	2	2	4	5	5	6	5	6
FOLLET	171	241	244	332	303	440	526	503	465	449	383
FOLLETET	1	2	2	9	3	7	5	5	8	7	3
FOLLETETE	7	18	7	10	29	31	25	32	25	29	16
FOLLETTI	1	1	2	5	2	6	1	5	8	2	5
FOLLEVILLE	2	7	2	4	3	5	7	9	12	8	8
FOLLEY	1	12	18	7	3	31	17	16	25	20	15
FOLLEZOU	6	18	19	48	32	40	38	38	43	35	37
FOLLEZOUR	1	0	4	8	4	2	12	6	11	7	5
FOLLI	2	2	4	12	10	18	25	22	17	22	14
FOLLIARD	21	18	25	40	39	40	54	53	41	45	33
FOLLIAS	2	6	5	0	5	8	1	0	2	2	0
FOLLIASSON	3	7	6	7	11	8	4	14	6	4	5
FOLLIAT	2	7	6	3	3	9	10	7	4	8	4
FOLLIAU	1	1	0	5	2	3	7	1	6	7	3
FOLLIC	3	11	7	10	17	14	15	17	12	8	17
FOLLIER	1	4	4	12	4	0	11	8	5	11	3
FOLLIET	40	51	59	95	82	83	94	86	73	62	75
FOLLIGNE	0	0	2	7	0	0	13	4	6	9	4
FOLLIGUET	3	2	5	4	8	1	5	7	2	3	10
FOLLIN	33	73	64	79	82	148	169	137	166	152	129
FOLLIN-ARBELET	0	1	0	0	3	3	3	8	2	6	9
FOLLINI	3	1	1	4	6	0	5	7	0	5	3
FOLLIOT	113	182	230	277	265	350	383	362	350	309	286
FOLLIS	3	4	3	3	5	8	3	7	0	4	8
FOLLMANN	9	11	6	3	4	3	2	4	1	5	2
FOLLMER	1	4	3	5	6	12	6	5	6	3	3
FOLLMI	1	1	2	5	3	3	9	7	2	1	0
FOLLO	6	7	7	7	12	8	3	5	11	2	7
FOLLON	0	1	0	5	3	4	3	6	4	8	9
FOLLONI	0	1	0	0	4	2	12	5	2	5	0
FOLLONIER	2	4	7	7	4	4	9	11	11	2	10
FOLLOPE	2	2	3	1	3	7	4	10	8	3	4
FOLLOPPE	8	15	13	36	14	31	25	19	27	20	18
FOLLOROU	2	5	4	1	2	10	3	8	8	0	8
FOLLOROUX	1	5	1	3	5	5	3	4	2	2	0
FOLLOT	11	24	21	38	26	25	38	48	23	30	32
FOLLUT	4	3	3	9	5	1	11	7	3	9	3
FOLLY	13	31	31	32	23	33	42	33	42	50	46
FOLMAR	4	9	2	9	11	7	19	10	11	12	10
FOLMER	16	21	28	38	17	34	40	29	22	34	27
FOLNY	10	26	20	24	38	33	48	56	31	44	44
FOLOPE	2	0	1	3	5	8	4	1	5	8	3
FOLOPPE	14	16	22	36	49	49	82	56	43	59	32
FOLQUET	0	4	1	1	5	0	7	3	2	8	3
